career_id,career,faculty,n_historico,n_2026,distancia_wasserstein
67,INGENIERIA GEOFISICA,FACULTAD DE INGENIERIA,1041,61,6.699548038613566
86,LITERATURA INTERCULTURAL,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,224,14,6.607142857142857
49,GEOCIENCIAS,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,316,22,6.589758342922899
42,ESTUDIOS SOCIALES Y GESTION LOCAL,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,120,15,6.55
8,ARTE Y DISEÑO,"PLANTEL TAXCO, GRO",939,81,6.432611525263283
17,CIENCIAS AMBIENTALES,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MERIDA,454,30,6.354478707782672
51,GEOGRAFIA APLICADA,ESCUELA NACIONAL DE CIENCIAS DE LA TIERRA,242,22,6.293388429752066
45,FILOSOFIA,FES ACATLAN,1092,77,6.276390276390277
81,LENGUA Y LITERATURAS MODERNAS (LETRAS ITALIANAS),FACULTAD DE FILOSOFIA Y LETRAS,215,23,6.048533872598586
10,BIBLIOTECOLOGIA Y ESTUDIOS DE LA INFORMACION,FACULTAD DE FILOSOFIA Y LETRAS,968,115,6.016825368307581
20,CIENCIAS DE LA TIERRA,ESCUELA NACIONAL DE CIENCIAS DE LA TIERRA,1103,113,5.933142916743556
30,DESARROLLO Y GESTION INTERCULTURALES,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEON,204,14,5.885854341736694
80,LENGUA Y LITERATURAS MODERNAS (LETRAS INGLESAS),FACULTAD DE FILOSOFIA Y LETRAS,1008,70,5.666666666666667
30,DESARROLLO Y GESTION INTERCULTURALES,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MERIDA,151,18,5.573583517292126
37,EDUCACION MUSICAL,FACULTAD DE MUSICA,386,22,5.537211493170043
77,LENGUA Y LITERATURAS HISPANICAS,FES ACATLAN,858,58,5.53259384293867
23,COMPOSICION,FACULTAD DE MUSICA,457,46,5.379554752164399
36,ECONOMIA INDUSTRIAL,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEON,1193,133,4.9671013241401925
45,FILOSOFIA,FACULTAD DE FILOSOFIA Y LETRAS,2703,260,4.9300221975582685
83,LETRAS CLASICAS,FACULTAD DE FILOSOFIA Y LETRAS,644,47,4.846306330117615
114,TRADUCCION,"SAN MIGUEL DE ALLENDE, GUANAJUATO",196,14,4.678571428571429
112,TECNOLOGIAS PARA LA INFORMACION EN CIENCIAS,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,352,46,4.6692193675889335
20,CIENCIAS DE LA TIERRA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MERIDA,241,8,4.58350622406639
43,ETNOMUSICOLOGIA,FACULTAD DE MUSICA,112,8,4.5
54,HISTORIA DEL ARTE,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,328,19,4.225770218228499
8,ARTE Y DISEÑO,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,1180,121,4.206611570247933
94,MUSICA Y TECNOLOGIA ARTISTICA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,331,32,3.886706948640483
53,HISTORIA,FES ACATLAN,1507,90,3.494816780948168
30,DESARROLLO Y GESTION INTERCULTURALES,FACULTAD DE FILOSOFIA Y LETRAS,702,66,3.392773892773893
14,CIENCIA DE MATERIALES SUSTENTABLES,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,264,22,3.034090909090909
77,LENGUA Y LITERATURAS HISPANICAS,FACULTAD DE FILOSOFIA Y LETRAS,1825,173,2.765656821601077
53,HISTORIA,FACULTAD DE FILOSOFIA Y LETRAS,2652,301,2.4491989998145947
41,ESTUDIOS LATINOAMERICANOS,FACULTAD DE FILOSOFIA Y LETRAS,741,95,1.6939271255060724
